Year,Average Stock Price,Year Open,Year High,Year Low,Year Close,Annual % Change
2019,54.706,62.024,86.188,35.794,83.666,25.70%
2018,63.462,64.106,75.914,50.112,66.56,6.89%
2017,62.8633,43.398,77,43.398,62.27,45.70%
2016,41.9535,44.682,53.084,28.734,42.738,-10.97%
2015,46.0085,43.862,56.452,37,48.002,7.91%
2014,44.6658,30.02,57.208,27.868,44.482,47.85%
2013,20.8803,7.072,38.674,6.582,30.0858,344.14%
2012,6.2337,5.616,7.602,4.558,6.774,18.59%
2011,5.3609,5.324,6.988,4.366,5.712,7.25%
2010,4.6683,4.778,7.094,3.16,5.326,0.00%
